Mã vạch,Tên sản phẩm,Ảnh,Danh mục,Giá bán,Số lượng,Tồn kho,Ghi chú,Cập nhật lúc
SP000521,HEO QUAY,,M1,,5,,,
SP000520,ca chi vang,,Đồ khô>>Đồ khô Khác,900,0,,,
8934717421525,Cá Viên Ngon,,Đông Lạnh>>cá,890,0,,,
SP000519,CÀ PHÁO HỘP,,M1,300,0,,,
8938506507087,Măng khô luộc,,Bánh Kẹo,350,0,,,
8996001313657,Apetitos pizza,,Bánh Kẹo,50,0,,,
8996001313671,Apetito cream,,Bánh Kẹo,50,0,,,
8888166360136,Coconut rolls,,Mianma & Indo,250,0,,,
8992735248173,BAMBOE GORENG ATI,,Mianma & Indo,190,0,,,
8992735210033,BAMBOE OPOR,,Mianma & Indo,190,0,,,
8992735210149,BAMBOE SEMUR,,Mianma & Indo,190,0,,,
89927352509098995102703091,KUAH BAKSO,,Mianma & Indo,100,0,,,
8992735248647,BAMBOE SOTO BETAWI,,Mianma & Indo,190,0,,,
8992735210040,BAMBOE RWON,,Mianma & Indo,190,0,,,
8992735210101,BAMBOE AYAM...,,Mianma & Indo,190,0,,,
8992735210088,BAMBOE GORENG,,Mianma & Indo,190,0,,,
8992735210071,BAMBOE SOTO DAGING,,Mianma & Indo,190,0,,,
8992735249743,BAMBOE NISHIGORENG PEDAS,,Mianma & Indo,190,0,,,
8992735210095,BAMBOE NISI GORENG,,Mianma & Indo,190,0,,,
8992735210026,BAMBOE KARE,,Mianma & Indo,190,0,,,
8992735210057,BAMBOE RENDANG,,Mianma & Indo,190,0,,,
8992735210064,BAMBOE SOTO AYAM,,Mianma & Indo,190,0,,,
8935311140454,Bánh đa cua vifon,,Bánh Kẹo,100,0,,,
8934597050181,Lương khô,,Bánh Kẹo,150,0,,,
SP000518,THÙNG HẢO HẢO,,Đồ khô>>Mì,0,0,,,
SP000517,quat (tac),,Rau tươi,200,0,,,
SP000516,la e,,Rau tươi,100,0,,,
4580525723340,la giang,,Rau tươi,220,0,,,
8934752060185,Giam gao,,Đồ khô>>Gia Vị,280,0,,,
4589516862570,dừa sợi khô,,Đồ khô>>cafe,0,0,,,
SP000512,hồng giòn,,Rau tươi,690,0,,,
89346140300660,sữa fami 1l,,Đồ khô,400,0,,,
8836000046357,mắm cá myanmar,,Đồ khô,380,0,,,
8934673314909,Ngoi sao phuong nam,,Đồ khô>>cafe,0,0,,,
8934930000026,Rồng Vàng Minh Ngọc,,Bánh Kẹo,100,0,,,
5013201438546,WIN,,Đồ khô>>Gia Vị,,25,,,
SP000509,ca chep,,Đông Lạnh>>cá,800,0,,,
89360105321378936010532151,cozy,,Nước ngọt,0,0,,,
SP000498,hoa qua,,Rau tươi,600,0,,,
cg300,Chân gà sốt thái cay,,Đông Lạnh>>chế biến sẵn( chè,500,0,,,
89931755358788993175535885,NABATI,,Bánh Kẹo,150,0,,,
6971819340042,BANH TRUNG THU TO,,Bánh Kẹo,950,0,,,
SP000493,rau ngot,,Rau tươi,880,0,,,
8936223460456,nui bo,,Bánh Kẹo,350,0,,,
SP000491,lê ổi,,Rau tươi,700,0,,,
cb400,chè bưởi,,Rau tươi,400,0,,,
8936017366995,nam ngư phú quốc,,Đồ khô>>Gia Vị,800,0,,,
SP000489,bot san day,,Đồ khô>>Các loại bột,,1,,,
8836000109182,trà trộn 2,,Đồ khô,690,0,,,
8836000109175,trà trộn 1,,Đồ khô,690,0,,,
CT500,Chè thái,,Đồ khô>>cafe,0,0,,,
SP000479,cùi bưởi,,Đồ khô>>cafe,0,0,,,
SP000478,tra vai,,Nước ngọt,0,0,,,
SP000477,luoi heo,,Đông Lạnh>>Bò,0,0,,,
8850367992171,Kem dừa 1000mL,,Đồ khô>>cafe,0,0,,,
8936028040778,gv xá xíu,,Đồ khô>>Gia Vị,130,0,,,
DV001,đùi vịt,,Đông Lạnh>>Gà,0,0,,,
tc001,Thit cuu,,Đông Lạnh>>đồ đông lạnh khác,2,0,,,
6971062710050,chan ga cay,,Bánh Kẹo,150,0,,,
4580545930490,nấm hương,,Đồ khô>>Gia Vị,250,0,,,
8993175542098,Nabati,,Bánh Kẹo,450,0,,,
8934564100529,dynamite hương dâu,,Bánh Kẹo,590,0,,,
893500170418889350017140578935001703181,Alpenliebe,,Bánh Kẹo,100,0,,,
8939710599226,Khô gà,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8939710599226.jpg,Bánh Kẹo,850,0,,,2025-11-08 13:12:21
8938551654309,snack sashimi,,Bánh Kẹo,90,0,,,
8938551654064,snack bò kobe,,Bánh Kẹo,90,0,,,
8938551654033,nem nuong phên,,Bánh Kẹo,90,0,,,
8938556388209,cốm khô,,Đồ khô>>cafe,0,0,,,
8858265000691,pickled guoramy fish,,Đồ khô>>Đồ khô Khác,450,0,,,
8850649000112,palm seed,,Đồ khô>>cafe,0,0,,,
8850937000909,cua lột,,Đông Lạnh>>cá,0,0,,,
8858265001025,tôm càng xanh,,Đông Lạnh>>Gà,0,0,,,
8854241010609,cá viên túi,,Đông Lạnh>>cá,370,0,,,
8934717371349,bò viên túi,,Đông Lạnh>>Bò,0,0,,,
4580525723388,dừa sợi,,Đông Lạnh>>chế biến sẵn( chè,450,0,,,
4580525723586,hạt đác đông lạnh,,Đông Lạnh>>chế biến sẵn( chè,600,0,,,
SP000455,snack bo kobe,,Bánh Kẹo,90,0,,,
4582724050418,dừa sợi,,Đông Lạnh>>gia vị đông lạnh,450,0,,,
8938552068327,xoai sấy muối ớt,,Bánh Kẹo,450,0,,,
SP000452,da heo tỏi ớt,,Bánh Kẹo,550,0,,,
8935024141595,G7 Capuchino,,Đồ khô>>cafe,0,0,,,
8934637513621,sate XO,,Đồ khô>>Gia Vị,200,0,,,
SP000450,rau bi,,Rau tươi,250,0,,,
SP000449,đỗ đũa,,Rau tươi,250,0,,,
SP000448,cà pháo,,Rau tươi,380,0,,,
SP000447,cà pháo 500gr,,Rau tươi,650,0,,,
14959090830499,cung đình ngũ quả,,Đồ khô,,8,,,
18936017368620,kokomi thùng,,Đồ khô,,5,,,
18936017366770,omachi,,Đồ khô,3,0,,,
18936017366800,omachi,,Đồ khô,3,0,,,
8934614030066,fami (lốc6),,Nước ngọt,0,0,,,
8934614030844,fami sữa dừa,,Nước ngọt,0,0,,,
8934614015025,fami,,Nước ngọt,0,0,,,
8934746011322,phồng tôm,,Đồ khô>>Mì,0,0,,,
4959090830492,mì cung đình bò hầm,,Đồ khô>>Mì,0,0,,,
8936136166797,phở story,,Đồ khô>>Mì,0,0,,,
4580525723715,Dừa miếng,,Đồ khô>>cafe,0,0,,,
8938535864274,bột hoa đậu biếc,,Đồ khô>>cafe,0,0,,,
8938535864038,bột lá nếp,,Đồ khô>>cafe,0,0,,,
8934734332033,Bột bánh da lợn,,Đồ khô>>Các loại bột,380,0,,,
8858265000721,Me hộp,,Đông Lạnh>>Bò,380,0,,,
LD350,Lòng dồi( dồi tiết),,Đông Lạnh>>Bò,500,0,,,
SP000438,lòng dồi 500g,,Đông Lạnh,850,0,,,
89352652110408935265210029,Bánh trứng belgi,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/89352652110408935265210029.jpg,Bánh Kẹo,480,0,,,2025-11-08 13:49:17
SP000436,Mận 1Kg,,Rau tươi,0,0,,,
SP000435,Mận 500g,,Rau tươi,700,0,,,
SP000434,mận 1kg,,Rau tươi,0,0,,,
SP000433,mận 500g,,Rau tươi,750,0,,,
SP000432,mướp,,Rau tươi,850,0,,,
sn002,sườn non 0.5kg,,Đông Lạnh>>Bò,600,0,,,
SP000431,Chanh xanh,,Rau tươi,500,0,,,
8934680033107,cosy lá dứa,,Bánh Kẹo,250,0,,,
8938505846637,Mì quảng,,Đồ khô>>Mì,0,0,,,
8936028044455,Gia vị Giả cầy,,Đồ khô>>Gia Vị,130,0,,,
8934673701105,sữa canxi,,Nước ngọt,0,0,,,
8934673701006,sữa hạnh nhân,,Nước ngọt,0,0,,,
8934673700993,sữa óc chó,,Nước ngọt,0,0,,,
8934673700986,sữa đậu đỏ,,Nước ngọt,0,0,,,
SP000423,rau muống,,Rau tươi,280,0,,,
8938546221035,bánh pò miếng,,Bánh Kẹo,550,0,,,
8938546221011,bánh pò xiên,,Bánh Kẹo,700,0,,,
skr001,cherry,,Rau tươi,650,0,,,
8850370071115,Trà thái (xanh),,Đồ khô>>cafe,0,0,,,
8934564100352,Dynamite bạc hà socola,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934564100352.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:25:09
8938551654415,Cá Cơm Cay,,Bánh Kẹo,20,0,,,
SP000418,Bột Vani,,Đồ khô>>cafe,0,0,,,
8934803024586,Kẹo oishi Me,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934803024586.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:34:03
8934803024623,Kẹo oishi Vải,,Bánh Kẹo,150,0,,,
SP000414,Bò xiên vừng,,Bánh Kẹo,650,0,,,
8859156399962,Tương ớt lào,,Đồ khô>>Gia Vị,480,0,,,
SP000412,xoài bao tử,,Rau tươi,900,0,,,
8934803043884,bim oishi,,Bánh Kẹo,150,0,,,
8934563151157,mi xào hảo hảo,,Đồ khô>>Mì,0,0,,,
893480304307589348030432598934803026412,Bimbim oishi,,Đồ khô>>Gia Vị,150,0,,,
8934696005150,Pate cột đèn,,Đồ khô>>Gia Vị,450,0,,,
810019601866,Mochi sầu riêng,,Bánh Kẹo,,95,,,
dc001,Dưa chua túi,,Đông Lạnh>>chế biến sẵn( chè,350,0,,,
SP000407,Măng cụt 0 5kg,,,900,0,,,
8934734402156,Bột Béo,,Đồ khô>>Gia Vị,180,0,,,
8934734102100,Bột chiên Giòn,,Đồ khô>>Gia Vị,180,0,,,
8934734042109,Bột Chiên Tôm,,Đồ khô>>cafe,0,0,,,
8934734092104,Bột bắp,,Đồ khô>>cafe,0,0,,,
8934734422130,Bột cốt dừa,,Đồ khô>>cafe,0,0,,,
SP000401,1KG măng cụt,,Rau tươi,0,0,,,
8934804004044,Dầu hào Magi,,Đồ khô,490,0,,,
8935039514223,Bột chiên giòn,,Đồ khô>>Gia Vị,150,0,,,
8936028040419,GV canh chua,,Đồ khô>>Gia Vị,130,0,,,
8934781011264,tương ớt OCV 700g,,Đồ khô>>Gia Vị,500,0,,,
16229901226,nước vải,,Nước ngọt,0,0,,,
16229909048,nước măng cụt,,Nước ngọt,0,0,,,
8935024142059,cafe phin G7,,Đồ khô>>cafe,0,0,,,
8936004886529,huong dua,,Đồ khô>>cafe,0,0,,,
8934767010069,mè xừng thiên hương,,Bánh Kẹo,490,0,,,
8936106630143,gv sot vang,,Đồ khô>>Gia Vị,80,0,,,
SP000470,Qua roi,,Rau tươi,400,0,,,
45827240502414580525723647,tép đồng,,Đông Lạnh>>cá,390,0,,,
8901016867385,Banh da nem,,Đồ khô>>Đồ khô Khác,150,0,,,
893851998019889385000756814582720900076,măng nứa,,Đồ khô>>Đồ khô Khác,350,0,,,
SP000467,HEINEKEN 5L,,NƯỚC>>BIA,,5,,,
893500171567289350017156728935001714316,ALPENLIEBE,,Bánh Kẹo,100,0,,,
8858265000714,măng thái,,Đồ khô>>Đồ khô Khác,390,0,,,
8938513656549,chẳm chéo,,Đồ khô>>Gia Vị,350,0,,,
GNT001,gạo nếp thái,,Đồ khô>>Các loại bột,380,0,,,
8934680033633,cosy xoài xí muội,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934680033633.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:33:21
8934680033084,cosy vị dâu,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934680033084.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:37:04
8858265000080,me chua 400gr,,Đồ khô,550,0,,,
SP000445,Nước mía Chai,,Nước ngọt,0,0,,,
8935342400299,dây Bento 12+1,,Bánh Kẹo,550,0,,,
SP000444,hang dai mini,,Bánh Kẹo,700,0,,,
8936114080312,Cool air,,Bánh Kẹo,500,0,,,
8934609602407,Bánh HURA deli,,Bánh Kẹo,800,0,,,
8936036020380,choocpai,,Bánh Kẹo,800,0,,,
SP000441,Chocopai,,Bánh Kẹo,800,0,,,
SP000440,rau thì là,,Rau tươi,190,0,,,
SP000439,lá dứa,,Rau tươi,300,0,,,
rt01,rau thơm mix,,Rau tươi,390,0,,,
4580525723326,quả sấu,,Đông Lạnh>>gia vị đông lạnh,450,0,,,
8938529985954,hồ lô,,Đông Lạnh>>đồ đông lạnh khác,,1,,,
88510281400478851028000631,sữa đậu nành,,Nước ngọt,0,0,,,
SP000386,TRỨNG CHẦN,,B.P>>PHỞ,150,0,,,
khd001,khấu đuôi heo,,Đông Lạnh>>Bò,0,0,,,
SG001,sườn già (kg),,Đông Lạnh>>Bò,0,0,,,
DGH001,Diềm gan heo,,Đông Lạnh>>Bò,900,0,,,
8936002720108,Trà móc câu,,Đồ khô>>cafe,0,0,,,
SP000384,Diềm heo,,Đông Lạnh>>Bò,900,0,,,
8938542960013SP000340,Chân gà rút xương,,Đông Lạnh,,4,,,
8936036026153,Bon's soi thit ga,,Bánh Kẹo,350,0,,,
8938510895026,Kẹo dâu tằm,,Bánh Kẹo,320,0,,,
8936222660178,Ngô giòn cay,,Bánh Kẹo,350,0,,,
8853095000927,Nước sương sâm,,Đồ khô>>Đồ khô Khác,390,0,,,
8888797168941,thốt nốt ngâm siro,,Đồ khô>>Đồ khô Khác,500,0,,,
8936032780165,mì zumzum,,Đồ khô>>Mì,0,0,,,
8936141320054,bánh tráng rế,,Đồ khô>>Đồ khô Khác,180,0,,,
SP000369,CHÈ CỐC,,CHÈ,500,0,,,
8852114531619,Bột kem dừa (chao thai),,Đồ khô,180,0,,,
44738018340,Sữa dừa thái,,Đồ khô,300,0,,,
8934751030066,Nước mía tắc,,Nước ngọt,0,0,,,
8850649000044,Vải ngâm siro,,Đồ khô,480,0,,,
8850649000082,Nhãn hộp,,Đồ khô,450,0,,,
BH002,Bắp heo cắt khanh,,Đông Lạnh>>gia vị đông lạnh,,1,,,
CR002,Riềng xay,,Đông Lạnh>>gia vị đông lạnh,200,0,,,
8936011460064,Red star,,Nước ngọt,0,0,,,
8850539180252,Sate vị húng quế,,Đồ khô,350,0,,,
8936216430336,hải sản rau củ viên,,Đông Lạnh>>cá,850,0,,,
SP000365,Thùng 3 miền,,Đồ khô,2,0,,,
8938517288869,Miến dong Dương Kiên,,Đồ khô>>Mì,0,0,,,
4932514138145,Bún gạo,,Đồ khô>>Mì,0,0,,,
8934673700856,Nước lựu táo(1L),,Nước ngọt,0,0,,,
45805459301938938530224417,Đậu đen xanh lòng,,Đồ khô>>Đồ khô Khác,400,0,,,
8934680025966 8934680025959,Bánh AFC,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934680025966%208934680025959.jpg,Bánh Kẹo,230,0,,,2025-11-08 13:34:17
4582559571652,Thịt dê cắt sẵn,,Đông Lạnh>>đồ đông lạnh khác,,8,,,
4582559571331,Gà cắt sẵn,,Đông Lạnh>>Gà,780,0,,,
89385011410198850153533090,Cá mòi hộp,,Đồ khô>>Đồ khô Khác,200,0,,,
893601736677389360173668038936017366834,Omachi (bịch),https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/893601736677389360173668038936017366834.jpg,Đồ khô,600,0,,,2025-11-08 13:48:36
sn001,Sườn non 1kg,,Đông Lạnh>>Bò,0,0,,,
8936028044295,Gv gà chiên mắm,,Đồ khô>>Gia Vị,130,0,,,
893622346010445827240501974580525723081,cá quả (lóc) cắt khúc,,Đông Lạnh,700,0,,,
4582720900106,Ngũ vị hương,,Đồ khô>>Gia Vị,50,0,,,
8934564600357,Trà chanh c2,,Đồ khô,180,0,,,
8938505644240,Bánh ướt,,Đồ khô,390,0,,,
8938505644301,Bánh hỏi tươi,,Đồ khô,390,0,,,
89361930703658936193070464,Numberone,,Đồ khô,250,0,,,
8936136166766,Chinsu hoa quả,,Đồ khô,200,0,,,
8936136166773,Chinsu mù tạt(wasabi),,Đồ khô,200,0,,,
SP000360,chuoi xanh,,Rau tươi,800,0,,,
8936125671769,Bánh dừa nướng,,Bánh Kẹo,450,0,,,
SP000349,bia hura,,Nước ngọt,0,0,,,
SP000348,ĐẬU TẨM HÀNH,,Chiên,750,0,,,
SP000347,GÀ LỘN (1QUA),,M1,200,0,,,
SP000346,GÀ Ủ XÌ DẦU,,M1,900,0,,,
ll001,Lá Lốt,,Rau tươi,200,0,,,
89346800428888934680042895,Solite lá dứa,,Bánh Kẹo,690,0,,,
8936017367091,Nước tương tam thái tử,,Đồ khô>>Gia Vị,650,0,,,
8936136163734,Nước tương tỏi ớt chinsu,,Đồ khô,490,0,,,
SP000345,Đu Đủ xanh,,Đông Lạnh>>Hoa quả,450,0,,,
8938507720232,thach du mau,,Đồ khô>>Đồ khô Khác,550,0,,,
SP000344,mía tươi,,Rau tươi,600,0,,,
HQ001,Húng quế,,Rau tươi,150,0,,,
8934368245013,dẻo tôm,,Bánh Kẹo,350,0,,,
6924187848276,hướng dương xanh lá,,Bánh Kẹo,350,0,,,
6924187844827,huong dương đỏ,,Bánh Kẹo,350,0,,,
6924187846180,hướng dương xanh,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/6924187846180.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:17:47
8936010682177,Pho Gà cung đình (hộp),,Đồ khô>>Gia Vị,150,0,,,
8936010682184,pho Bo cung dinh (coc),,Đồ khô>>Gia Vị,150,0,,,
4580545930568,banh da an lien,,Đồ khô>>Gia Vị,350,0,,,
4580545930544,tương bần,,Đồ khô>>Gia Vị,100,0,,,
8938507417057,Chao môn,,Đồ khô>>Gia Vị,450,0,,,
SP000314,dưa chuột,,GỎI,100,0,,,
89686440133,Gia vị care indo,,Đồ khô,190,0,,,
8938531959028,kẹo dâu tằm,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8938531959028.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:38:43
8935265211101,belgi trứng,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8935265211101.jpg,Bánh Kẹo,580,0,,,2025-11-08 13:49:35
5635403721,sambal pecel,,Mianma & Indo,550,0,,,
89686386417,racik bumbu,,Mianma & Indo,140,0,,,
8936223460197,Chả cá thát lát,,Đông Lạnh>>cá,580,0,,,
7893000453227,Xúc xich gà,,Mianma & Indo,650,0,,,
8934680115629,AFC THẢO MỘC,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934680115629.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:33:39
8858223006444,KEM XỐP XOÀI,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8858223006444.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:35:40
8858223006451,KEM XỐP SẦU,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8858223006451.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:35:18
8858223025612,KEM XỐP DỪA,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8858223025612.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:36:19
8834000192111,BEST FRIED,,Mianma & Indo,,5,,,
8938520394694,mam tep chung thit,,Đồ khô>>Gia Vị,130,0,,,
8997225860002,uleg sambal rawit,,Mianma & Indo,100,0,,,
8834000138010,fried myeik shimp...,,Mianma & Indo,950,0,,,
89927700331478992770033130,masako,,Mianma & Indo,60,0,,,
5060075357589,shwe htoo double...,,Mianma & Indo,,5,,,
5060075357794,fried beans shal,,Mianma & Indo,980,0,,,
8836000062777,htoo htoo shal,,Mianma & Indo,,5,,,
8836000062722,theadaw pae gyi puu,,Mianma & Indo,980,0,,,
5060075357787,fried lablab beans,,Mianma & Indo,980,0,,,
8850030116064,tom yum,,Đồ khô>>Gia Vị,100,0,,,
8850030116019,tom ka,,Đồ khô>>Gia Vị,100,0,,,
8836000216743,bot ot,,Đồ khô>>Gia Vị,0,0,,,
8836000111406,fried fish,,Bánh Kẹo,850,0,,,
8858223017006,kem xop dau tay,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8858223017006.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:34:49
8858223006468,kem xop mang cut,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8858223006468.jpg,Bánh Kẹo,250,0,,,2025-11-08 13:36:03
4959090840811,cung đình bò hầm,,Đồ khô>>Mì,0,0,,,
SP000652,hanh tam,,Đồ khô>>Gia Vị,400,0,,,
542602001,Pete,,Mianma & Indo,650,0,,,
8691420231123,Plain Paratha,,Mianma & Indo,350,0,,,
542602000,Daun salam,,Mianma & Indo,280,0,,,
906489307,MM boiled bean,,Mianma & Indo,760,0,,,
542602003,kencur,,Mianma & Indo,550,0,,,
5125261252816,vegetable samosa snack,,Mianma & Indo,550,0,,,
5125261252625,spring roll,,Mianma & Indo,550,0,,,
8941193401514,vegetable samosa,,Mianma & Indo,500,0,,,
SP000651,bánh trung thu nhỏ,,Bánh Kẹo,300,0,,,
883400006603,tempura flour,,Mianma & Indo,380,0,,,
SP000650,rau chua,,Mianma & Indo,120,0,,,
SP000649,Thung omachi,,Đồ khô>>Mì,0,0,,,
SP000648,Seblak bapper,,Mianma & Indo,950,0,,,
SP000647,Tom ka,,Đồ khô>>Gia Vị,100,0,,,
SP000646,Bánh trung thu kinh đô,,Bánh Kẹo,650,0,,,
SP000645,đùi ga,,Đông Lạnh>>Gà,850,0,,,
8936134361439,Nước tương nam duong,,Đồ khô>>Gia Vị,550,0,,,
SP000644,Fami Thùng,,Đồ khô>>Đồ khô Khác,2,0,,,
8997011930612,LADAKU,,Mianma & Indo,70,0,,,
8991818801113,ULEG UDANG,,Mianma & Indo,100,0,,,
8991818801533,ULEG RENDANG,,Mianma & Indo,100,0,,,
8991818800550,ULEG PEDAS,,Mianma & Indo,100,0,,,
8991818801076,ULEG TERI,,Mianma & Indo,100,0,,,
P0000031,ULEG RAWIT,,Mianma & Indo,100,0,,,
P0000030,ULEG GEPREK,,Mianma & Indo,100,0,,,
8991818080112,ULEG TERASI,,Mianma & Indo,100,0,,,
8991818800857,ULEG BAWANG,,Mianma & Indo,100,0,,,
P0000027,ULEG KEMIRI,,Mianma & Indo,100,0,,,
8992770094216,SAORI SAU TERIYAKI,,Mianma & Indo,150,0,,,
8992770094513,SAORI SAUS LADA HITAM,,Mianma & Indo,150,0,,,
8992770094117,SAORI SAUS TIRAM,,Mianma & Indo,150,0,,,
8992770094315,SAORI SAUS ASAM MANIS,,Mianma & Indo,150,0,,,
8992770094414,SAORI SAUS RASA MENTEGA,,Mianma & Indo,150,0,,,
8997007521619,TEPUNG DAWANG PUTIH,,Mianma & Indo,70,0,,,
8997007521671,BUBUK DAUN SALAM,,Mianma & Indo,70,0,,,
P0000019,ABC TERASI UDANG,,Mianma & Indo,450,0,,,
89951027034420,MAMASUKA TERASI UDANG,,Mianma & Indo,450,0,,,
P0000017,SEBLAK BAPPER,,Mianma & Indo,1,0,,,
89686400816,INDOFOOD SAMBAL EKSTRA PEDAS,,Mianma & Indo,650,0,,,
8995102707259,MAMASUKA HOT LAVA VOLCANO,,Mianma & Indo,900,0,,,
89686386219,RACIK TUMIS,,Mianma & Indo,250,0,,,
8997026220128,SOBASO KUAH BAKSO,,Mianma & Indo,390,0,,,
P0000012,MAMASUKA KUAH BASO,,Mianma & Indo,600,0,,,
P0000011,MASAKO RASA SAPI,,Mianma & Indo,60,0,,,
P0000010,MASAKO RASA AYAM,,Mianma & Indo,600,0,,,
8836000304907,SPECIAL MALAR MO CBAI PASTE,,Mianma & Indo,600,0,,,
P0000008,FRIED FISH SAUE W/TAMARING,,Mianma & Indo,850,0,,,
P0000007,FRIED MYEK SHRIMP PASTE,,Mianma & Indo,850,0,,,
8836000046371,COOKED FISH PASTE READY TO SERVE,,Mianma & Indo,360,0,,,
P0000005,NATURAL FISH PASTE,,Mianma & Indo,480,0,,,
8836000304914,MARLAR CURRY PASTE,,Mianma & Indo,650,0,,,
8834000086663,SPICY FRIED DRIED SMALL FISH,,Mianma & Indo,900,0,,,
8012403,SOYA CHUNKS(MAESURA),,Mianma & Indo,650,0,,,
P0000001,CANDLENUT(KEMIRI),,Mianma & Indo,360,0,,,
543986356811100001310005,Canlenut (kemiri),,Mianma & Indo,380,0,,,
SP000642,Saus lada hitam,,Mianma & Indo,140,0,,,
SP000641,cooker fíh,,Mianma & Indo,350,0,,,
SP000640,Smaill Fish,,Mianma & Indo,980,0,,,
SP000639,marlar curry paste,,Mianma & Indo,650,0,,,
6971819340202,Bánh Nướng,,Bánh Kẹo,800,0,,,
4582724050098,Chả cá thát lát,,Đông Lạnh>>cá,380,0,,,
4580525723920,Tôm đất đông lạnh 500g,,Đông Lạnh>>cá,700,0,,,
8936223460708,Nui chiên mắm cay,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8936223460708.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:13:53
8936223460715,Nui chiên bơ cay,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8936223460715.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:14:37
SP000637,Đào,,Rau tươi,850,0,,,
SP000636,banh crep sau rieng,,Đông Lạnh,,3,,,
SP000635,Thanh long Ruột Trắng,,Rau tươi,400,0,,,
8834000075605,BEST tamarind,,Mianma & Indo,450,0,,,
8834000075827,BEST fish paste,,Mianma & Indo,490,0,,,
8996001600146,TEH PUCUK HARUM,,Nước ngọt,0,0,,,
8996006858016,TEH BOTOL SOSRO,,Nước ngọt,0,0,,,
4589423063657,Đường java palm,,Đồ khô>>Gia Vị,380,0,,,
8934637513423,Tương ớt cholimex,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934637513423.jpg,Đồ khô>>Gia Vị,520,0,,,2025-11-06 17:35:24
8936223460579,ốc móng tay,,Đông Lạnh,750,0,,,
8935063602668,mắm ruôc huế,,Đồ khô>>Gia Vị,700,0,,,
SP000630,thịt má heo,,Đông Lạnh,0,0,,,
45805257221838936223460777,Hành tím khô,,Đồ khô>>Gia Vị,500,0,,,
8938551654927,tăm cay BT,,Bánh Kẹo,100,0,,,
SP000629,Hat dua rang cui,,Bánh Kẹo,100,0,,,
SP000628,Vải tươi,,Rau tươi,950,0,,,
SP000627,Trân châu Olong nhài,,Đồ khô>>Các loại bột,,6,,,
SP000626,Trân châu cốm,,Đồ khô>>Các loại bột,,6,,,
7894904058822,Seara Chicken,,Mianma & Indo,1,0,,,
7893000534223,Sadia chiken,,Mianma & Indo,800,0,,,
8938539983018,Banh Dau Xanh,,Bánh Kẹo,600,0,,,
8939710599240,Heo khô cháy tỏi,,Bánh Kẹo,900,0,,,
SP000624,rượu dừa,,Nước ngọt,0,0,,,
8834000098000,shan shwe taung jin mwe,,Mianma & Indo,90,0,,,
8935217400256,TH vị dâu,,Đồ khô>>cafe,0,0,,,
8935217400454,TH socola,,Đồ khô>>cafe,0,0,,,
SP000623,Nhãn Tươi 500g,,Rau tươi,700,0,,,
8935217400157,TH Nguyên chất,,Nước ngọt,0,0,,,
SP000621,mận,,Rau tươi,500,0,,,
SP000620,bầu,,Rau tươi,300,0,,,
SP000619,Ga trống,,Đông Lạnh>>Gà,0,0,,,
8934777201174,bột nếp,,Đồ khô>>Các loại bột,400,0,,,
8936013741413,Bột Bánh xèo 500g,,Đồ khô>>Các loại bột,480,0,,,
SP000618,GỪNG,,Rau tươi,280,0,,,
89686043686,INDIMIE IGAPENYET,,Mianma & Indo,120,0,,,
4580525723395,Khoai Môn,,Đông Lạnh>>đồ đông lạnh khác,500,0,,,
8992735210125,bamboe sop,,Mianma & Indo,190,0,,,
8936079391041,Mắm Ruốc,,Đồ khô>>Gia Vị,360,0,,,
